,fold,layer_size,momentum_value,activation_value,feature_number,score
292,2,100,0,logistic,30,0.7827050997782705
293,3,100,0,logistic,30,0.8
294,4,100,0,logistic,30,0.8070953436807096
295,5,100,0,logistic,30,0.7844444444444445
296,6,100,0,logistic,30,0.7915742793791575
297,7,100,0,logistic,30,0.8066666666666666
298,8,100,0,logistic,30,0.7804878048780488
299,9,100,0,logistic,30,0.7888888888888889
300,0,100,0,logistic,31,0.8048780487804879
301,1,100,0,logistic,31,0.8088888888888889
302,2,100,0,logistic,31,0.8181818181818182
303,3,100,0,logistic,31,0.7866666666666666
304,4,100,0,logistic,31,0.7782705099778271
305,5,100,0,logistic,31,0.7688888888888888
306,6,100,0,logistic,31,0.7627494456762749
307,7,100,0,logistic,31,0.7955555555555556
308,8,100,0,logistic,31,0.7982261640798226
309,9,100,0,logistic,31,0.7533333333333333
310,0,100,0,logistic,32,0.7627494456762749
311,1,100,0,logistic,32,0.7844444444444445
312,2,100,0,logistic,32,0.8004434589800443
313,3,100,0,logistic,32,0.7822222222222223
314,4,100,0,logistic,32,0.8181818181818182
315,5,100,0,logistic,32,0.8022222222222222
316,6,100,0,logistic,32,0.7960088691796009
317,7,100,0,logistic,32,0.8
318,8,100,0,logistic,32,0.7671840354767184
319,9,100,0,logistic,32,0.7777777777777778
320,0,100,0,logistic,33,0.7804878048780488
321,1,100,0,logistic,33,0.78
322,2,100,0,logistic,33,0.7893569844789357
323,3,100,0,logistic,33,0.7955555555555556
324,4,100,0,logistic,33,0.7827050997782705
325,5,100,0,logistic,33,0.7644444444444445
326,6,100,0,logistic,33,0.7960088691796009
327,7,100,0,logistic,33,0.7955555555555556
328,8,100,0,logistic,33,0.7849223946784922
329,9,100,0,logistic,33,0.7977777777777778
330,0,100,0,logistic,34,0.7982261640798226
331,1,100,0,logistic,34,0.7977777777777778
332,2,100,0,logistic,34,0.8048780487804879
333,3,100,0,logistic,34,0.8244444444444444
334,4,100,0,logistic,34,0.8048780487804879
335,5,100,0,logistic,34,0.8
336,6,100,0,logistic,34,0.8070953436807096
337,7,100,0,logistic,34,0.7866666666666666
338,8,100,0,logistic,34,0.8070953436807096
339,9,100,0,logistic,34,0.8111111111111111
340,0,100,0,logistic,35,0.7937915742793792
341,1,100,0,logistic,35,0.7577777777777778
342,2,100,0,logistic,35,0.8093126385809313
343,3,100,0,logistic,35,0.8022222222222222
344,4,100,0,logistic,35,0.7893569844789357
345,5,100,0,logistic,35,0.7911111111111111
346,6,100,0,logistic,35,0.7893569844789357
347,7,100,0,logistic,35,0.8066666666666666
348,8,100,0,logistic,35,0.811529933481153
349,9,100,0,logistic,35,0.7933333333333333
350,0,100,0,logistic,36,0.7915742793791575
351,1,100,0,logistic,36,0.8311111111111111
352,2,100,0,logistic,36,0.811529933481153
353,3,100,0,logistic,36,0.8044444444444444
354,4,100,0,logistic,36,0.8137472283813747
355,5,100,0,logistic,36,0.7866666666666666
356,6,100,0,logistic,36,0.7982261640798226
357,7,100,0,logistic,36,0.8022222222222222
358,8,100,0,logistic,36,0.8248337028824834
359,9,100,0,logistic,36,0.7888888888888889
