,fold,layer_size,momentum_value,activation_value,feature_number,score
357,7,100,0,relu,36,0.7622222222222222
358,8,100,0,relu,36,0.7849223946784922
359,9,100,0,relu,36,0.7955555555555556
360,0,100,0,relu,37,0.8048780487804879
361,1,100,0,relu,37,0.7688888888888888
362,2,100,0,relu,37,0.7915742793791575
363,3,100,0,relu,37,0.7666666666666667
364,4,100,0,relu,37,0.7893569844789357
365,5,100,0,relu,37,0.8177777777777778
366,6,100,0,relu,37,0.7738359201773836
367,7,100,0,relu,37,0.7711111111111111
368,8,100,0,relu,37,0.7760532150776053
369,9,100,0,relu,37,0.8
370,0,100,0,relu,38,0.7427937915742794
371,1,100,0,relu,38,0.8111111111111111
372,2,100,0,relu,38,0.7871396895787139
373,3,100,0,relu,38,0.7688888888888888
374,4,100,0,relu,38,0.7694013303769401
375,5,100,0,relu,38,0.7733333333333333
376,6,100,0,relu,38,0.7827050997782705
377,7,100,0,relu,38,0.8
378,8,100,0,relu,38,0.7827050997782705
379,9,100,0,relu,38,0.8022222222222222
380,0,100,0,relu,39,0.8070953436807096
381,1,100,0,relu,39,0.7577777777777778
382,2,100,0,relu,39,0.7982261640798226
383,3,100,0,relu,39,0.7844444444444445
384,4,100,0,relu,39,0.7893569844789357
385,5,100,0,relu,39,0.8177777777777778
386,6,100,0,relu,39,0.7671840354767184
387,7,100,0,relu,39,0.7933333333333333
388,8,100,0,relu,39,0.8137472283813747
389,9,100,0,relu,39,0.8044444444444444
390,0,100,0,relu,40,0.8070953436807096
391,1,100,0,relu,40,0.7911111111111111
392,2,100,0,relu,40,0.8048780487804879
393,3,100,0,relu,40,0.8155555555555556
394,4,100,0,relu,40,0.8093126385809313
395,5,100,0,relu,40,0.8022222222222222
396,6,100,0,relu,40,0.7893569844789357
397,7,100,0,relu,40,0.7866666666666666
398,8,100,0,relu,40,0.8181818181818182
399,9,100,0,relu,40,0.7777777777777778
400,0,100,0,relu,41,0.7849223946784922
401,1,100,0,relu,41,0.8155555555555556
402,2,100,0,relu,41,0.7937915742793792
403,3,100,0,relu,41,0.7955555555555556
404,4,100,0,relu,41,0.8070953436807096
405,5,100,0,relu,41,0.7866666666666666
406,6,100,0,relu,41,0.7982261640798226
407,7,100,0,relu,41,0.8
408,8,100,0,relu,41,0.7804878048780488
409,9,100,0,relu,41,0.7888888888888889
410,0,100,0,relu,42,0.7893569844789357
411,1,100,0,relu,42,0.78
412,2,100,0,relu,42,0.8203991130820399
413,3,100,0,relu,42,0.7911111111111111
414,4,100,0,relu,42,0.7849223946784922
415,5,100,0,relu,42,0.7955555555555556
416,6,100,0,relu,42,0.7982261640798226
417,7,100,0,relu,42,0.8022222222222222
418,8,100,0,relu,42,0.7982261640798226
419,9,100,0,relu,42,0.7911111111111111
420,0,100,0,relu,43,0.753880266075388
421,1,100,0,relu,43,0.8466666666666667
422,2,100,0,relu,43,0.7915742793791575
423,3,100,0,relu,43,0.8044444444444444
